date,fx_rate,log_fx,log_return,vol_7d,vol_14d,vol_30d,event_window,epu_index,target_high_volatility
2005-01-01,3.8167523809524,1.3393998989714229,,,,,0,58.94662,0
2005-02-01,3.67327,1.301082273528714,-0.03831762544270889,,,,0,74.97708,0
2005-03-01,3.6291952380952,1.2890109262038019,-0.012071347324912107,,,,0,81.45479,0
2005-04-01,3.6277476190476,1.28861196507229,-0.00039896113151183243,0.019420508136288425,,,0,89.07868,0
2005-05-01,3.6174590909091,1.285771870795868,-0.002840094276421956,0.0061565651046169055,,,0,99.44091,0
2005-06-01,3.6136272727273,1.2847120525755429,-0.0010598182203251927,0.001262619364583394,,,0,99.41497,0
2005-07-01,3.564680952381,1.2710745554381124,-0.013637497137430454,0.006806263026563851,0.014361259921278213,,0,85.08384,1
2005-08-01,3.5033869565217,1.2537302024371106,-0.01734435300100179,0.008535463865135016,0.0073235339757291,,0,82.83349,0
2005-09-01,3.5097227272727,1.255537039278496,0.0018068368413852731,0.010157397179901658,0.007907855643561426,,0,160.47384,0
2005-10-01,3.5996952380952,1.280849185793869,0.02531214651537317,0.021365254527853223,0.015032785656172134,,0,71.51886,1
2005-11-01,3.6542636363636,1.2958946054252638,0.015045419631394719,0.01178392505398923,0.01637795410665967,,0,95.44765,1
2005-12-01,3.6588666666667,1.2971534455443994,0.0012588401191355736,0.01206950015638134,0.016327453058861362,,0,61.47662,1
2006-01-01,3.6449045454545,1.293330177313737,-0.00382326823066248,0.009763238717784489,0.0148647946127255,0.01601074109605234,0,83.96113,1
2006-02-01,3.53927,1.263920491191245,-0.02940968612249195,0.01643700655861551,0.018623419509973944,0.014391463543223935,0,60.63415,1
2006-03-01,3.5074304347826,1.254883699521275,-0.009036791669969846,0.013520974049978459,0.019130047416981582,0.0142453506556006,0,79.82994,1
2006-04-01,3.4891722222222,1.2496645224716958,-0.005219177049579304,0.013005189598580094,0.014521151628750385,0.014238098167585407,0,89.04357,1
2006-05-01,3.5071590909091,1.2548063339469557,0.005141811475259939,0.007336632421753986,0.012125172098257817,0.014443725148673661,0,82.44514,1
2006-06-01,3.5501181818182,1.266980893586217,0.012174559639261284,0.008749778149100261,0.014222363209119333,0.015062402676846567,0,89.85152,1
2006-07-01,3.5714857142857,1.2729816756848846,0.006000782098667612,0.0038365111405824796,0.014936467527147248,0.014683200616037709,0,82.00437,1
2006-08-01,3.5270652173913,1.2604661419792744,-0.012515533705610205,0.01284893114531941,0.009738796182320661,0.01421872710514088,0,58.86663,0
2006-09-01,3.5274142857143,1.2605651055734366,9.896359416217138e-05,0.009458778592308103,0.008822425643044373,0.014213673396739058,0,76.82971,0
2006-10-01,3.5190818181818,1.2582001084760386,-0.002364997097398014,0.0066861802479713656,0.008494308655954068,0.011857335556085093,0,71.2218,0
2006-11-01,3.4954636363636,1.251466023930124,-0.006734084545914509,0.0034605051246637377,0.008831298432759725,0.010633568352494637,0,73.8451,0
2006-12-01,3.4137,1.2277967470489355,-0.023669276881188583,0.011252866313903745,0.010468371228639082,0.01193192608179285,0,74.91799,0
2007-01-01,3.3921772727273,1.2214719785709147,-0.00632476847802077,0.0098978133176283,0.008551241998543136,0.011916479618735043,0,62.33881,0
2007-02-01,3.382345,1.2185692559182455,-0.0029027226526692207,0.011133973114634332,0.008568032282587495,0.009363512491664651,0,58.51786,0
2007-03-01,3.3691681818182,1.214665883575644,-0.0039033723426014078,0.0017594912464209674,0.008046334421304608,0.00921760613635617,0,71.11645,0
2007-04-01,3.3337789473684,1.2041064796015182,-0.010559403974125914,0.004161907129753553,0.007655868402476068,0.009442150254537108,0,65.16531,0
2007-05-01,3.2836181818182,1.1889459186365294,-0.015160560964988745,0.005659765872873012,0.007921900094848512,0.009513605949038675,0,54.99328,0
2007-06-01,3.2242619047619,1.1707040573132503,-0.018241861323279096,0.0038662041779615485,0.006237169221171953,0.008362099056809064,0,60.84606,0
2007-07-01,3.1345136363636,1.1424740221335254,-0.02823003517972489,0.006832144430731344,0.009535127400766138,0.00896041296084875,0,47.69235,0
2007-08-01,3.224552173913,1.1707940798035115,0.02832005766998602,0.030181917651227574,0.019534045929055187,0.01439011707029827,0,94.66285,1
2007-09-01,3.34814,1.2084049677625217,0.03761088795901024,0.03563532818363261,0.027133431016152617,0.019390170482484773,0,166.73321,1
2007-10-01,3.3536956521739,1.2100629175347493,0.0016579497722275516,0.018662802974873962,0.02673194031252166,0.019462190959324215,0,96.88045,1
2007-11-01,3.4738909090909,1.2452752652219132,0.03521234768716397,0.020100847325142703,0.028496072113827813,0.022464138059139035,0,97.73733,1
2007-12-01,3.5350736842105,1.2627341433209736,0.017458878099060327,0.01678666453785723,0.025097492473208173,0.021736156643906716,0,98.01473,1
2008-01-01,3.6936772727273,1.3066225126998696,0.043888369378896064,0.013472051589135964,0.015488552882264889,0.02445915429214418,0,160.25905,1
2008-02-01,3.6557238095238,1.2962941062973048,-0.010328406402564827,0.027111221432653976,0.021770951817486135,0.024826289438710448,0,128.78454,1
2008-03-01,3.7194368421053,1.3135722702941244,0.017278163996819584,0.027109913733508594,0.020176770279674672,0.02477409388935686,0,139.87072,1
2008-04-01,3.6428090909091,1.2927551122912333,-0.02081715800289108,0.019678203668065313,0.025178599269295384,0.02564351858825805,0,96.74758,1
2008-05-01,3.6583,1.2969985586343022,0.004243446343068946,0.01936143638249063,0.02298560438657332,0.02468637580053083,0,76.82344,1
2008-06-01,3.6555619047619,1.296249817298556,-0.0007487413357463168,0.01326459683726699,0.022786419994077097,0.023414939592935193,0,106.42784,1
