date,fx_rate
2021-04-01,4.92313
2021-05-01,4.925
2021-06-01,4.9237954545455
2021-07-01,4.9254954545455
2021-08-01,4.9231590909091
2021-09-01,4.9471272727273
2021-10-01,4.9480428571429
2021-11-01,4.9493636363636
2021-12-01,4.9492
2022-01-01,4.9454
2022-02-01,4.94578
2022-03-01,4.9482347826087
2022-04-01,4.9441578947368
2022-05-01,4.946
2022-06-01,4.9444045454545
2022-07-01,4.939580952381
2022-08-01,4.8943043478261
2022-09-01,4.9096681818182
2022-10-01,4.9259285714286
2022-11-01,4.9141954545455
2022-12-01,4.9224476190476
2023-01-01,4.9242272727273
2023-02-01,4.908675
2023-03-01,4.9263260869565
2023-04-01,4.9364944444444
2023-05-01,4.9477227272727
2023-06-01,4.9599818181818
2023-07-01,4.9410904761905
2023-08-01,4.9410739130435
2023-09-01,4.9656142857143
2023-10-01,4.9681772727273
2023-11-01,4.9702545454545
2023-12-01,4.9707157894737
2024-01-01,4.9749272727273
2024-02-01,4.974619047619
2024-03-01,4.970765
2024-04-01,4.9730285714286
2024-05-01,4.9753818181818
2024-06-01,4.97674
2024-07-01,4.973
2024-08-01,4.9765681818182
2024-09-01,4.9743761904762
2024-10-01,4.9750043478261
2024-11-01,4.9762380952381
2024-12-01,4.974875
2025-01-01,4.9751863636364
2025-02-01,4.977015
2025-03-01,4.9767523809524
2025-04-01,4.977535
2025-05-01,5.0714238095238
2025-06-01,5.0454333333333
2025-07-01,5.0716173913043
2025-08-01,5.0651238095238
2025-09-01,5.0739590909091
2025-10-01,5.0871826086957
2025-11-01,5.086735
2025-12-01,5.0912761904762
2026-01-01,5.091895238095239
